LevelNo,LevelType,LevelName,BonusLevel,GridDelay,BulletMaxim,BulletFrame,BulletShoot,EnemySpawn,EnemyTotal,EnemyStartDelay,EnemyStartDelta,EnemyFrameDelay,EnemyFrameDelta,EnemyFrameMinim,EnemyFrameRange,EnemySpeedNone,EnemySpeedWave,EnemySpeedFast,ExplodeDelay
01,Hard,MOOT,false,300,5,50,100,2,20,2000,0,1000,0,600,200,100,0,0,100
02,Hard,GEEZA,false,250,5,50,100,4,50,2000,0,1000,0,600,200,70,20,10,100
03,Hard,AMAR,false,200,5,50,100,6,100,2000,50,1000,50,500,250,50,30,20,100
04,Hard,CIECIEL,false,200,5,50,100,6,100,2000,50,1000,50,500,250,50,30,20,100
05,Hard,BONUS 1,true,200,5,50,100,6,100,2000,50,1000,50,500,250,50,30,20,100
06,Hard,OLISIS,false,200,5,50,100,6,100,2000,50,1000,50,500,250,50,30,20,100
07,Hard,LUCASIA,false,200,5,50,100,6,100,2000,50,1000,50,500,250,50,30,20,100
08,Hard,IDA,false,200,5,50,100,6,100,2000,50,1000,50,500,250,50,30,20,100
09,Hard,REVI,false,200,5,50,100,6,100,2000,50,1000,50,500,250,50,30,20,100
10,Hard,MINIA,false,200,5,50,100,6,100,2000,50,1000,50,500,250,50,30,20,100
11,Hard,PARMS,false,200,5,50,100,6,100,2000,50,1000,50,500,250,50,30,20,100
12,Hard,BONUS 2,true,200,5,50,100,6,100,2000,50,1000,50,500,250,50,30,20,100
13,Hard,DRAIL,false,200,5,50,100,6,100,2000,50,1000,50,500,250,50,30,20,100
14,Hard,ASUTE,false,200,5,50,100,6,100,2000,50,1000,50,500,250,50,30,20,100
15,Hard,VICEL,false,200,5,50,100,6,100,2000,50,1000,50,500,250,50,30,20,100
16,Hard,NATURA,false,200,5,50,100,6,100,2000,50,1000,50,500,250,50,30,20,100
17,Hard,NARK,false,200,5,50,100,6,100,2000,50,1000,50,500,250,50,30,20,100
18,Hard,ABSYMBEL,false,200,5,50,100,6,100,2000,50,1000,50,500,250,50,30,20,100
