LevelNo,LevelType,LevelName,BonusLevel,GridDelay,BulletMaxim,BulletFrame,BulletShoot,EnemySpawn,EnemyTotal,EnemyStartDelay,EnemyStartDelta,EnemyFrameDelay,EnemyFrameDelta,EnemyFrameMinim,EnemyFrameRange,EnemySpeedNone,EnemySpeedWave,EnemySpeedFast,ExplodeDelay
01,Easy,MOOT,FALSE,500,1,100,500,1,10,2000,0,1000,0,500,200,100,0,0,100
02,Easy,GEEZA,FALSE,450,5,80,120,1,1,500,0,300,0,500,600,100,0,0,100
03,Easy,AMAR,FALSE,450,5,80,120,3,20,200,0,100,0,500,600,90,10,0,100
04,Easy,CIECIEL,FALSE,450,5,80,120,3,20,200,0,100,0,500,600,90,10,0,100
05,Easy,BONUS 1,TRUE,450,5,80,120,3,20,200,0,100,0,500,600,90,10,0,100
06,Easy,OLISIS,FALSE,450,5,80,120,3,20,200,0,100,0,500,600,90,10,0,100
07,Easy,LUCASIA,FALSE,450,5,80,120,3,20,200,0,100,0,500,600,90,10,0,100
08,Easy,IDA,FALSE,450,5,80,120,3,20,200,0,100,0,500,600,90,10,0,100
09,Easy,REVI,FALSE,450,5,80,120,3,20,200,0,100,0,500,600,90,10,0,100
10,Easy,MINIA,FALSE,450,5,80,120,3,20,200,0,100,0,500,600,90,10,0,100
11,Easy,PARMS,FALSE,450,5,80,120,3,20,200,0,100,0,500,600,90,10,0,100
12,Easy,BONUS 2,TRUE,450,5,80,120,3,20,200,0,100,0,500,600,90,10,0,100
13,Easy,DRAIL,FALSE,450,5,80,120,3,20,200,0,100,0,500,600,90,10,0,100
14,Easy,ASUTE,FALSE,450,5,80,120,3,20,200,0,100,0,500,600,90,10,0,100
15,Easy,VICEL,FALSE,450,5,80,120,3,20,200,0,100,0,500,600,90,10,0,100
16,Easy,NATURA,FALSE,450,5,80,120,3,20,200,0,100,0,500,600,90,10,0,100
17,Easy,NARK,FALSE,450,5,80,120,3,20,200,0,100,0,500,600,90,10,0,100
18,Easy,ABSYMBEL,FALSE,450,5,80,120,3,20,200,0,100,0,500,600,90,10,0,100
