LevelNo,LevelType,LevelName,BonusLevel,GridDelay,BulletMaxim,BulletFrame,BulletShoot,EnemySpawn,EnemyTotal,EnemyStartDelay,EnemyStartDelta,EnemyFrameDelay,EnemyFrameDelta,EnemyFrameMinim,EnemyFrameRange,EnemySpeedNone,EnemySpeedWave,EnemySpeedFast,ExplodeDelay
1,Hard,MOOT,FALSE,300,2,50,100,3,10,2000,0,1000,0,600,200,100,0,0,100
2,Hard,GEEZA,FALSE,300,2,50,100,3,20,2000,0,1000,0,600,200,70,20,10,100
3,Hard,AMAR,FALSE,300,3,50,100,3,50,2000,50,1000,50,500,250,50,30,20,100
4,Hard,CIECIEL,FALSE,300,3,50,100,4,75,2000,50,1000,50,500,250,50,30,20,100
5,Hard,BONUS 1,TRUE,150,5,50,100,4,100,2000,50,1000,50,500,250,50,30,20,75
6,Hard,OLISIS,FALSE,250,3,50,100,4,75,2000,50,1000,50,500,250,50,30,20,90
7,Hard,LUCASIA,FALSE,250,4,50,100,5,50,2000,50,1000,50,500,250,50,30,20,90
8,Hard,IDA,FALSE,250,4,50,100,5,125,2000,50,1000,50,500,250,50,30,20,90
9,Hard,REVI,FALSE,250,4,50,100,5,100,2000,50,1000,50,500,250,50,30,20,90
10,Hard,MINIA,FALSE,250,4,50,100,6,175,2000,50,1000,50,500,250,50,30,20,90
11,Hard,PARMS,FALSE,250,5,50,100,6,150,2000,50,1000,50,500,250,50,30,20,90
12,Hard,BONUS 2,TRUE,150,7,50,100,6,250,2000,50,1000,50,500,250,50,30,20,50
13,Hard,DRAIL,FALSE,200,5,50,100,7,150,2000,50,1000,50,500,250,50,30,20,80
14,Hard,ASUTE,FALSE,200,5,50,100,7,200,2000,50,1000,50,500,250,50,30,20,80
15,Hard,VICEL,FALSE,200,6,50,100,7,175,2000,50,1000,50,500,250,50,30,20,80
16,Hard,NATURA,FALSE,200,6,50,100,8,225,2000,50,1000,50,500,250,50,30,20,80
17,Hard,NARK,FALSE,200,6,50,100,8,200,2000,50,1000,50,500,250,50,30,20,80
18,Hard,ABSYMBEL,FALSE,200,6,50,100,8,250,2000,50,1000,50,500,250,50,30,20,80
