LevelNo,LevelType,LevelName,BonusLevel,GridDelay,BulletMaxim,BulletFrame,BulletShoot,EnemySpawn,EnemyTotal,EnemyStartDelay,EnemyStartDelta,EnemyFrameDelay,EnemyFrameDelta,EnemyFrameMinim,EnemyFrameRange,EnemySpeedNone,EnemySpeedWave,EnemySpeedFast,EnemyMoverNone,EnemyMoverHorz,EnemyMoverVert,EnemyMoverBoth,EnemyVelocity,EnemyRotates,ExplodeDelay
1,Easy,MOOT,FALSE,350,1,150,900,1,5,5000,0,2500,0,2300,100,40,60,0,100,0,0,0,1,0,125
2,Easy,GEEZA,FALSE,350,1,150,900,1,5,4000,0,2400,100,2200,100,45,55,0,95,5,0,0,1,0,125
3,Easy,AMAR,FALSE,350,2,200,600,1,10,3000,0,2200,200,2000,100,45,50,5,90,5,5,0,1,10,125
4,Easy,CIECIEL,FALSE,350,2,200,600,2,10,3000,500,2000,200,1800,100,40,50,10,85,5,5,5,2,10,125
5,Easy,BONUS 1,TRUE,250,3,150,300,2,50,2000,250,1600,0,1200,200,40,40,20,85,10,5,0,2,0,110
6,Easy,OLISIS,FALSE,300,2,200,600,2,35,2750,250,1800,100,1550,125,55,35,10,80,10,5,5,2,15,120
7,Easy,LUCASIA,FALSE,300,2,200,600,3,35,2500,250,1800,100,1550,125,50,35,15,75,10,10,5,3,20,120
8,Easy,IDA,FALSE,300,3,150,300,3,50,2250,250,1700,100,1450,125,50,35,15,70,10,10,10,3,20,120
9,Easy,REVI,FALSE,300,3,150,300,3,50,2250,250,1700,100,1450,125,50,30,20,65,15,10,10,3,25,120
10,Easy,MINIA,FALSE,300,4,150,225,4,75,2000,125,1600,100,1350,125,50,30,20,60,15,15,10,4,25,120
11,Easy,PARMS,FALSE,300,4,150,225,4,75,2000,125,1600,100,1350,125,45,30,25,55,15,15,15,4,30,120
12,Easy,BONUS 2,TRUE,200,6,200,200,4,100,1750,250,1200,0,800,200,40,20,40,55,15,15,15,4,0,100
13,Easy,DRAIL,FALSE,250,3,150,300,5,40,2000,200,1500,100,1200,150,55,20,25,50,20,15,15,5,35,110
14,Easy,ASUTE,FALSE,250,3,150,300,5,80,2000,200,1500,100,1200,150,55,20,25,50,20,15,15,5,35,110
15,Easy,VICEL,FALSE,250,4,150,225,5,60,1900,200,1400,100,1100,150,50,15,35,45,20,20,15,5,40,110
16,Easy,NATURA,FALSE,250,4,150,225,6,80,1900,200,1400,100,1100,150,50,15,35,45,20,20,15,6,40,110
17,Easy,NARK,FALSE,250,5,175,210,6,60,1800,200,1300,100,1000,150,50,10,40,40,20,20,20,6,45,110
18,Easy,ABSYMBEL,FALSE,250,5,175,210,6,100,1800,200,1300,100,1000,150,50,10,40,40,20,20,20,6,45,110
